time,open,high,low,close,volume
2003-08-11,977.59,985.46,974.21,980.59,1022200000
2003-08-12,981.34,990.41,979.9,990.35,1132300000
2003-08-13,991.2,992.5,980.85,984.03,1208800000
2003-08-14,984.3,991.91,980.36,990.51,1186800000
2003-08-15,990.19,992.39,986.44,990.67,636370000
2003-08-18,991.47,1000.35,991.47,999.74,1127600000
2003-08-19,1000.65,1003.3,995.3,1002.33,1300600000
2003-08-20,1000.84,1003.54,996.62,1000.3,1210800000
2003-08-21,1001.67,1009.53,999.33,1003.27,1407100000
2003-08-22,1005.43,1011.01,992.62,993.05,1308900000
2003-08-25,992.94,993.71,987.91,993.71,971700000
2003-08-26,992.47,997.93,983.57,996.73,1178700000
2003-08-27,995.95,998.05,993.33,996.79,1051400000
2003-08-28,997.43,1004.12,991.42,1002.84,1165200000
2003-08-29,1002.2,1008.85,999.52,1008.03,945100000
2003-09-02,1008.96,1022.59,1005.67,1021.99,1470500000
2003-09-03,1023.33,1029.34,1022.45,1026.27,1675600000
2003-09-04,1026.27,1029.17,1022.19,1027.97,1453900000
2003-09-05,1027.11,1029.21,1018.19,1021.37,1465200000
2003-09-08,1021.93,1032.41,1021.93,1031.64,1299300000
2003-09-09,1031.15,1031.15,1021.14,1023.17,1414800000
2003-09-10,1021.51,1021.51,1009.74,1010.93,1582100000
2003-09-11,1011.58,1020.88,1011.58,1016.42,1335900000
2003-09-12,1014.55,1019.65,1007.71,1018.63,1236700000
2003-09-15,1018.68,1019.79,1013.59,1014.81,1151300000
2003-09-16,1015.03,1029.66,1015.03,1029.32,1403200000
2003-09-17,1028.98,1031.34,1024.53,1025.97,1338210000
2003-09-18,1025.84,1040.16,1025.75,1039.58,1498800000
2003-09-19,1039.58,1040.29,1031.89,1036.31,1518600000
2003-09-22,1036.3,1036.3,1018.3,1022.79,1278800000
2003-09-23,1022.82,1030.12,1021.54,1029.04,1301700000
2003-09-24,1029.16,1029.83,1008.93,1009.38,1556000000
2003-09-25,1010.19,1015.97,1003.26,1003.26,1530000000
2003-09-26,1003.45,1003.45,996.08,996.85,1472500000
2003-09-29,998.09,1006.89,995.31,1006.59,1366500000
2003-09-30,1005.14,1005.14,990.36,995.95,1590500000
2003-10-01,997.12,1018.22,997.12,1018.22,1566300000
2003-10-02,1017.78,1021.87,1013.38,1020.24,1269300000
2003-10-03,1024.93,1039.31,1024.93,1029.85,1570500000
2003-10-06,1030.25,1036.48,1029.15,1034.35,1025800000
2003-10-07,1032.81,1039.25,1026.19,1039.25,1279500000
2003-10-08,1039.25,1040.08,1030.96,1033.78,1262500000
2003-10-09,1036.42,1048.28,1034.92,1038.73,1578700000
2003-10-10,1038.83,1040.84,1035.74,1038.06,1108100000
2003-10-13,1039.29,1048.9,1039.29,1045.35,1040500000
2003-10-14,1045.35,1049.49,1040.84,1049.48,1271900000
2003-10-15,1052.82,1053.79,1043.15,1046.76,1521100000
2003-10-16,1045.47,1052.94,1044.04,1050.07,1417700000
2003-10-17,1050.07,1051.9,1036.57,1039.32,1352000000
2003-10-20,1039.4,1044.69,1036.13,1044.68,1172600000
2003-10-21,1045.24,1048.57,1042.5,1046.03,1498000000
2003-10-22,1046.02,1046.02,1028.39,1030.36,1647200000
2003-10-23,1030.36,1035.44,1025.87,1033.77,1604300000
2003-10-24,1030.79,1030.79,1018.32,1028.91,1420300000
2003-10-27,1030.57,1037.75,1029.19,1031.13,1371800000
2003-10-28,1032.75,1046.79,1032.75,1046.79,1629200000
2003-10-29,1046.79,1049.83,1043.35,1048.11,1562600000
2003-10-30,1050.3,1052.82,1043.82,1046.94,1629700000
2003-10-31,1046.94,1053.09,1046.94,1050.71,1498900000
2003-11-03,1051.84,1061.44,1051.84,1059.02,1378200000
2003-11-04,1059.02,1059.02,1051.7,1053.25,1417600000
2003-11-05,1053.31,1054.54,1044.88,1051.81,1401800000
2003-11-06,1053.51,1058.94,1046.93,1058.05,1453900000
2003-11-07,1059.22,1062.39,1052.17,1053.21,1440500000
2003-11-10,1053.44,1053.65,1045.58,1047.11,1243600000
2003-11-11,1046.88,1048.23,1043.46,1046.57,1162500000
2003-11-12,1047.02,1059.1,1046.74,1058.53,1349300000
2003-11-13,1057.54,1059.62,1052.96,1058.41,1383000000
2003-11-14,1058.41,1063.65,1048.11,1050.35,1356100000
2003-11-17,1049.04,1049.04,1035.28,1043.63,1374300000
2003-11-18,1043.7,1048.77,1034.0,1034.15,1354300000
2003-11-19,1034.15,1043.95,1034.15,1042.44,1326200000
2003-11-20,1041.13,1046.48,1033.42,1033.65,1326700000
2003-11-21,1035.25,1037.57,1031.2,1035.28,1273800000
2003-11-24,1036.44,1052.08,1036.44,1052.08,1302800000
2003-11-25,1052.11,1058.05,1049.31,1053.89,1333700000
2003-11-26,1055.25,1058.45,1048.28,1058.45,1097700000
2003-11-28,1057.89,1060.63,1056.77,1058.2,487220000
2003-12-01,1059.64,1070.47,1059.64,1070.12,1375000000
2003-12-02,1070.12,1071.22,1065.22,1066.62,1383200000
2003-12-03,1067.68,1074.3,1064.63,1064.73,1441700000
2003-12-04,1065.35,1070.37,1063.15,1069.72,1463100000
2003-12-05,1067.32,1068.41,1060.09,1061.5,1265900000
2003-12-08,1061.49,1069.59,1060.93,1069.3,1218900000
2003-12-09,1069.3,1071.94,1059.16,1060.18,1465500000
