time,open,high,low,close,volume
2009-06-01,0.18,2.44,0.18,2.36,
2009-06-02,40.37,40.37,0.59,1.37,
2009-06-03,0.43,2.97,0.43,2.5,
2009-06-04,0.3,1.25,0.3,1.14,
2009-06-05,1.71,1.99,0.58,1.74,
2009-06-08,3.59,3.59,0.54,0.72,
2009-06-09,0.64,2.48,0.49,1.28,
2009-06-10,0.33,1.24,0.25,0.97,
2009-06-11,0.44,0.99,0.43,0.82,
2009-06-12,0.36,0.91,0.33,0.85,
2009-06-15,169.4,169.4,1.82,1.99,
2009-06-16,0.14,1.7,0.14,1.35,
2009-06-17,0.11,2.84,0.11,1.53,
2009-06-18,1.03,1.23,0.46,0.93,
2009-06-19,0.13,1.36,0.13,0.86,
2009-06-22,4.07,4.16,1.33,1.87,
2009-06-23,0.34,1.22,0.34,0.56,
2009-06-24,0.73,1.96,0.38,1.06,
2009-06-25,1.42,1.59,0.7,0.83,
2009-06-26,1.87,2.19,0.53,1.31,
2009-06-29,0.69,1.37,0.5,0.79,
2009-06-30,1.39,2.9,0.87,1.43,
2009-07-01,0.98,2.47,0.5,2.17,
2009-07-02,0.26,3.1,0.26,2.91,
2009-07-06,1.97,2.77,0.92,0.92,
2009-07-07,0.53,1.48,0.45,1.13,
2009-07-08,0.15,2.27,0.15,1.05,
2009-07-09,2.34,2.34,0.41,0.74,
2009-07-10,10.09,10.09,0.78,1.91,
2009-07-13,0.62,0.83,0.38,0.68,
2009-07-14,0.13,1.32,0.13,1.29,
2009-07-15,0.06,1.23,0.06,0.64,
2009-07-16,1.27,1.89,1.11,1.89,
2009-07-17,0.1,1.5,0.1,1.3,
2009-07-20,1.01,1.76,0.55,1.37,
2009-07-21,1.8,2.57,0.92,1.33,
2009-07-22,1.34,4.2,0.69,1.03,
2009-07-23,0.2,1.59,0.2,1.45,
2009-07-24,0.18,1.38,0.18,1.12,
2009-07-27,5.0,5.0,0.27,1.21,
2009-07-28,0.21,2.76,0.21,0.72,
2009-07-29,0.63,2.53,0.35,0.69,
2009-07-30,0.7,2.57,0.26,2.19,
2009-07-31,0.05,2.03,0.05,0.72,
2009-08-03,0.92,1.59,0.36,0.63,
2009-08-04,0.41,1.7,0.41,0.72,
2009-08-05,0.09,0.66,0.09,0.33,
2009-08-06,0.1,0.67,0.1,0.46,
2009-08-07,0.62,1.3,0.51,1.23,
2009-08-10,0.05,0.62,0.05,0.57,
2009-08-11,0.26,2.0,0.15,1.09,
2009-08-12,0.36,0.99,0.18,0.75,
2009-08-13,0.14,0.87,0.14,0.57,
2009-08-14,0.02,3.61,0.02,1.38,
2009-08-17,1.33,1.79,0.63,1.79,
2009-08-18,0.06,0.69,0.06,0.64,
2009-08-19,4.68,4.68,0.42,1.46,
2009-08-20,0.14,0.49,0.14,0.48,
2009-08-21,0.11,0.75,0.11,0.33,
2009-08-24,0.29,0.66,0.05,0.66,
2009-08-25,0.21,1.31,0.06,1.12,
2009-08-26,0.01,2.46,0.01,1.18,
2009-08-27,3.83,3.83,0.04,0.37,
2009-08-28,1.11,1.11,0.03,0.44,
2009-08-31,1.02,2.79,1.0,1.29,
2009-09-01,2.01,5.44,0.62,3.6,
2009-09-02,0.99,4.25,0.51,0.8,
2009-09-03,0.06,0.59,0.06,0.54,
2009-09-04,0.03,0.69,0.03,0.6,
2009-09-08,2.96,2.96,0.38,2.67,
2009-09-09,0.07,2.58,0.07,1.67,
2009-09-10,5.46,5.46,0.56,0.67,
2009-09-11,3.66,3.66,0.44,1.23,
2009-09-14,0.04,1.49,0.04,1.08,
2009-09-15,3.53,4.3,1.23,2.39,
2009-09-16,0.25,1.09,0.18,1.08,
2009-09-17,0.18,1.05,0.18,0.91,
2009-09-18,1.87,1.87,1.87,1.87,
2009-09-21,0.13,0.82,0.04,0.56,
2009-09-22,0.21,0.79,0.21,0.79,
2009-09-23,1.09,2.53,0.56,2.35,
2009-09-24,0.58,4.73,0.48,2.05,
2009-09-25,1.79,1.99,0.37,1.73,
2009-09-28,0.05,0.98,0.05,0.69,
2009-09-29,0.03,0.88,0.03,0.85,
2009-09-30,1.09,1.12,1.03,1.05,
2009-10-01,1.5,6.52,1.22,3.73,
2009-10-02,0.18,1.22,0.18,0.9,
2009-10-05,0.12,0.89,0.12,0.74,
2009-10-06,3.82,3.82,0.48,1.06,
2009-10-07,0.86,1.3,0.33,1.01,
2009-10-08,0.94,1.76,0.78,1.19,
2009-10-09,1.32,2.26,0.21,1.17,
2009-10-12,0.49,0.68,0.2,0.6,
2009-10-13,0.27,2.87,0.27,0.84,
2009-10-14,0.48,0.6,0.1,0.46,
2009-10-15,23.88,23.88,1.06,1.07,
2009-10-16,2.35,5.12,1.41,1.62,
2009-10-19,0.38,2.03,0.38,1.92,
2009-10-20,1.76,1.76,0.55,1.56,
2009-10-21,1.87,1.87,0.3,1.62,
2009-10-22,0.3,1.6,0.09,0.78,
2009-10-23,0.61,2.02,0.19,1.91,
2009-10-26,0.47,3.55,0.47,2.31,
2009-10-27,0.13,2.96,0.13,1.07,
2009-10-28,1.77,2.18,0.59,0.69,
2009-10-29,0.23,1.54,0.22,0.68,
2009-10-30,1.72,4.37,0.97,1.99,
2009-11-02,0.36,2.21,0.23,0.93,
2009-11-03,0.37,1.34,0.37,0.64,
2009-11-04,5.3,5.3,0.66,1.97,
2009-11-05,2.77,3.43,0.93,0.97,
2009-11-06,1.24,1.29,0.61,0.92,
2009-11-09,0.32,0.48,0.16,0.34,
2009-11-10,9.52,9.52,0.59,0.84,
2009-11-11,3.03,3.03,0.61,1.0,
2009-11-12,0.39,1.24,0.39,0.78,
2009-11-13,0.66,1.66,0.5,1.34,
2009-11-16,0.04,0.96,0.04,0.8,
2009-11-17,2.02,2.02,0.42,0.68,
2009-11-18,0.34,1.71,0.22,0.61,
2009-11-19,1.8,5.76,0.98,1.56,
2009-11-20,12.64,15.9,0.2,1.21,
2009-11-23,0.01,0.9,0.01,0.86,
2009-11-24,1.73,3.67,0.19,1.14,
2009-11-25,0.15,1.22,0.15,0.96,
2009-11-27,27.65,104.2,2.93,4.64,
2009-11-30,0.6,1.14,0.19,1.05,
2009-12-01,0.2,1.3,0.2,1.22,
2009-12-02,1.61,1.61,0.7,1.33,
2009-12-03,0.2,1.36,0.2,1.08,
2009-12-04,2.71,40.33,0.12,1.0,
2009-12-07,0.24,1.54,0.24,1.51,
2009-12-08,19.22,19.22,0.56,2.19,
2009-12-09,0.05,1.4,0.05,1.25,
2009-12-10,0.1,1.84,0.1,0.94,
2009-12-11,0.36,1.14,0.21,0.77,
2009-12-14,1.36,4.5,1.36,1.74,
2009-12-15,0.96,1.77,0.8,1.2,
2009-12-16,0.23,17.78,0.23,1.78,
2009-12-17,1.78,8.83,1.78,2.88,
2009-12-18,0.16,1.07,0.16,0.54,
2009-12-21,23.46,23.46,0.66,0.66,
2009-12-22,0.12,7.37,0.12,1.25,
